title,tag,artist,year,views,features,lyrics,id,language
Lovely Hell,rock,The Boofs,2022,5,, Take my hand I'll show you my town I'll show you the park Where my spirit was found I'll show you where We used to play when we were young I will never leave this lovely hell We will never leave this lovely hell   The streets where we played Our dreams lost in the rain As the cold breeze Drags the leaves and the pain But the characters and the critics Will always stay the samе I will never leavе this lovely hell We will never leave this lovely hell   Dreams are dying This town ain't rising I miss the days of trying Drinking and fighting  It's easy to dream But life's not as it seems And it's easy to scheme   When the sunlit rivers teem Until the barren trees Blow the harsh reality I will never leave this lovely hell We will never leave this lovely hell   The town that raised me Where we lived happily The old bench Where we smoked our first cigarettes Good old Nellie's Where we drank ourselves to death I will never leave this lovely hell We will never leave this lovely hell   Dreams are dying This town ain't rising I miss the days of trying Drinking and fighting  Dreams are dying This town ain't rising I miss the days of trying Drinking and fighting   My dreams (dying) My dreams (rising) My dreams (trying) My dreams (fighting),7728805,en
Amsterdam,rap,Token,2022,2950,Benny the Butcher," Seven deep in Amsterdam, I gave that girl ego without her askin' for it Brand that bitch with two Italian logos now she fashion forward (Yeah) She say she wanna get high but she can't find the bag she portioned This is why my past's important—I know how to get that gas imported My room ain’t ready so I bathroom floored it Peeked under the stalls, they all was empty Bent her by the toilets (Toilets) Her friend got an app idea, bitch think she Jack Dorsey (Yeah, yeah, yeah) Just gotta get the patent right, I tell her say ""Congrats"" for mе It ain't cool to be the one your homiеs gotta watch But I been operatin' there since all them bottles made her scared Soda water, chase it down 'til all 'em rounds taste like air You stack the glasses I was off, it's 'bout the size of baby chair (Uh-huh) Guap protected with barbed wire, like it's holocaust gates in there My baby prepared the juicy pink like when my Tomahawk steak is rare She not Islam, don't say them prayers But it's always like it's Ramadan the way she cares to fast to keep her body small and weight prepared   Sweat swinging off them bitches out the drop top (Yeah) Slur swinging out the homies after shot, shot (Yeah) Champagne will put her pussy on the wanted list Pop-pop-pop-pop-pop-pop-pop-pop  I don't invite my O.G. to the parties I throw at the crib I don't need the backlash, she's back And when he ask about the night I just recap it (I got you) Before publishin', hustlin' was still a me habit All that cash into my mattress practically had my sheets braggin' (Uh) Switched the narrative from a kid tryin' to get famous To a kid high with temptation with a disguise on his anguish White skin turn red inside of his basement Life is heating up, I got a big gripe if you in the way of it (Yeah, yeah, yeah)   Sweat swinging off them bitches out the drop top (Yeah) Slur swinging out the homies after shot, shot (The Butcher coming nigga! Brr!) Champagne will put her pussy on the wanted list (Brr, brr!) Pop-pop-pop-pop-pop-pop-pop-pop   Yeah, you worth the jewels your family hand you (Right) My sanity handled it all I gambled and lost, dealing with hoes I don't care to involve (Right) I'm on satin Alexander decor, inside a Benz AMG mats layin' on the floor when the camera pan through the doors (That's right) Life's a bitch and through these glasses I see a scandalous whore (Bitch!) In business meetings, using tactics that's only standard for war Could it be magic behind pianos, hear Barry Manolo’s voice I got Tony Montana's force, that's on Tony Sopranos' corpse Don't trust chicks, they heartless, just give 'em dick and problems You buy 'em gifts and chocolates then give 'em quick responses (Uh-uh) Shit been rotten 'round here since Harriet was pickin' cotton Soon as you get rich, the IRS come pick your pockets (Damn) In the trial, judge told him he don't deserve to be free (That's fucked up) If he not already a killer, then he gon' certainly be Up the road, not up for parole 'til 2033 Sharp his razor, watchin' reruns on a blurry TV, ah  Sweat swinging off them bitches out the drop top (Yeah) Slur swinging out the homies after shot, shot (Yeah) Champagne will put her pussy on the wanted list (Yeah) Pop-pop-pop-pop-pop-pop-pop-pop   Start shit, you want me to start shit, so start it then You ugly ass bitch",7463973,en
RIVER 0F B0ILING BL00D,misc,OOF THE FOO,2022,4,,RIVER OF BOILING BLOOD  Surrounded by darkness. I Emerge to take your life  Sink the blade in Tearing flesh Blood runs freely From your neck  I told you I would return Now you leave this earth  There is constant evil Reach into your black soul Break the chains that bind Remove all dark from light  Draining your body of its soul Bleed until it runs cold Draining your body of its soul Bleed until it runs cold,7645867,en
Losing You,rap,Rob DiIoia,2022,2,,"Losing you lyrics  You say I’m losing you  Hmmm yeahhh   You say I’m losing you Please explain what wrong that I’ve been doing to you Really caught me off Gaurd with this truely, you  You got me now  Never really thinking about me losing you This is news to me Just like it’s news to you  Every since the start you my conclusion, you Had me planning for a life with me and you Thinking OMG who been getting to you Who you been listening to Imma have to go and kill ‘em too TLking about leaving me is you crazy? For somebody yhats fugazi Won’t give you nothing I gave me  Now you got me looking crazy  Got me so crazy  How you act like you ain’t grimey you dirty you shady Acting like before you met me you ever was poppin baby you was basic   Face it  Now you be putting our business out all on the socials on all yo pages Baby you nasty Baby you changing Baby I hate this  Where did this come from? We was on sade, love was the greatest We had a plan babe We was gon make it Now I look at you and don’t wanna say shit Okay so imma be up on to better things Tried to give you all the world and next a wedding ring You said you made me go ahead and make another me I wish you luck hope you get stuck with just another Fuckin lame    You say I’m losing you Please explain what wrong that I’ve been doing to you Really caught me off Gaurd with this truely, you  You got me now  Never really thinking about me losing you This is news to me Just like it’s news to you  Every since the start you my conclusion, you Had me planning for a life with me and you Thinking OMG who been getting to you Who you been listening to Imma have to go and kill ‘em too  Who you been listening to baby I kill ‘em  For you I run up in the building Give em the clip and I’m leaving the pistol  Pray the lord that I’m forgiven Pray the lord  Pray the lord that I’m forgiven yeah  You was my lover my twin and my best friend How the Fuck you let em split us  How the fuck you let em split us!  We had a bond They called it unbreakable yeah  I gave you the world You ain’t wanna take it no no  You seen the dollars and ain’t wanna fake it no more  I gave you my all I gave you my heart And you just go break it like that  So how ya do me like ya old dude? I was moving just the way I been supposed to Doing everything that we had spoke on  How you gon treat me like I been a vulture We been the talk of the town the commotion Acting like all I been doing ain’t for us  Okay so imma be up on to better things Tried to give you all the world and next a wedding ring You said you made me go ahead and make another me I wish you luck hope you get stuck with just another Fuckin lame    You say I’m losing you Please explain what wrong that I’ve been doing to you Really caught me off Gaurd with this truely, you  You got me now  Never really thinking about me losing you This is news to me Just like it’s news to you  Every since the start you my conclusion, you Had me planning for a life with me and you Thinking OMG who been getting to you Who you been listening to Imma have to go and kill ‘em too",7626751,en
VIRGIN$ARECREEP$,pop,Acidgvrl,2022,3,,In what world do you think you are think you are In what world do you think you are think you are In what world do you think you are think you are In what world do you think you are think you are Virgin what a joke Virgin what a joke Virgin what a joke Virgin what a joke  In what world do you think you are think you are In what world do you think you are think you are In what world do you think you are think you are In what world do you think you are think you are Virgin what a joke Virgin what a joke Virgin what a joke Virgin what a joke  Nothing like that Nothing like that Nothing like that Nothing like that You gonna cry senpai Cry senpai Cry senpai Cry senpai Cry senpai  In what world do you think you are think you are In what world do you think you are think you are In what world do you think you are think you are In what world do you think you are think you are Virgin what a joke Virgin what a joke Virgin what a joke Virgin what a joke  I’m a total creep I’m a total creep I’m a total creep I’m a total creep Cry senpai Cry senpai Cry senpai I’m a total creep  In what world do you think you are think you are In what world do you think you are think you are In what world do you think you are think you are In what world do you think you are think you are Virgin what a joke Virgin what a joke Virgin what a joke Virgin what a joke In what world do you think you are think you are In what world do you think you are think you are In what world do you think you are think you are In what world do you think you are think you are Virgin what a joke Virgin what a joke Virgin what a joke Virgin what a joke  In what world do you think you are think you are In what world do you think you are think you are In what world do you think you are think you are In what world do you think you are think you are Virgin what a joke Virgin what a joke Virgin what a joke Virgin what a joke,7739668,en
EL RELOJ,rb,Seppe & Gama,2022,71,DEKKO,"El reloj  Gama: Hace tiempo, que no miro el tiempo Esperando queriéndote ver amor Pero te encuentras lejos Ohhhh  Coro: Y aquí me tienes, son las cinco am veo que no vienes y yo mirando el reloj Ey Pensando en tú y yo y en to lo qué pasó Y aquí me tienes, son las cinco am veo que no vienes y yo mirando el reloj Ey Pensando en tú y yo y en to lo qué pasó Seppe: No tienеs más opción má Solo dime que si Y para hacerlo solamеnte grita help me Te he buscado como Turizo a la Lady Sin ti hay un vacío como el Barsa sin Messi Yeah No olvido esa llamada, no olvido ese beso Las veces que teníamos sexo Tú solo confía , tú eres lo mejor de Colombia después de Lucho Díaz Ey Dime si te quedas o te vais Dime si te caigo de surprise Estas Nueva York y yo caliente en Quilla Vice Me han tirado tres baby  ninguna me ha pegado ningún strike Ma prende la video cámara Que estás sola en tu recámara Son las tres de la madruga Estas en pijama Se que te hace falta que yo estuviese allá Pa hacerte mía na mas  Gama y dekko: Se que te gustaba Tal vez el tiempo pase y pase lo qué pasa Estoy pa ti Y nadie te va a querer ni volviendo a nacer como te quiero a ti  Son las cinco am veo que no vienes y yo mirando el reloj Ey Pensando en tú y yo y en lo que hicimos amor   Dekko: Uhh Dekko Si quieres yo te espero, nos casamos y primero nos volamos para Roma Ey Es broma Pero si quieres no es broma Es que me encanta tu culo, tu acento, tu aroma Aquí me tienes esperando Todas las noches mirando Las estrellas llorando porque no te estoy dando Yo te sigo llamado tú sigues contestándome Aquí sigo firme Pa que Tomes el mando ey Tú eres mi religión mi ley A lo nuestro le tengo más fe Que el Vaticano y Feid Como Rihanna y Drake No necesito un break La movie sigue en play Ey Coro (DEKKO) Y aquí me tienes, son las cinco am veo que no vienes y yo mirando el reloj Ey Pensando en tú y yo y en to lo qué pasó (X2) Gama: Na na ey Hace tiempo que no miro el time Prende el FaceTime que ya te vi online Tú tiene algo ma baby que no lo hay Esto es una película flow Amazon prime ey eh  Dime si te atreve que contigo yo voy Es un amor de redes lo que tenemos Y aunque sea difícil yo pa ti yo ya estoy Le doy gracias a Dios Y yo Estoy puesto hacerte de to’ no me digas que no aunque pase el tiempo Te confieso que esto nos paso A Dari  y a mi en aquellos momento   Créditos: Oye Esto es seppe y Gama Bololo bololo bololo Dj dari on the beat on the beat Sumbalo Seppe sirtori y Gama la voz Otra vez Dekko Te amo Seppe y Gama O El Gama con el Seppe Yo mirando el reloj Vuelve por favor Pa que lo bailes bebé En esta nos juntamos los nenes de quilla Dari Directamente desde el Downtown Los de quilla Vice Good bye",7820696,es
I Can Be,rock,Bring Me The Beasts,2022,4,,I can be your loss prevention Yes I will watch your shit And if someone tries to take it I will arrest them But if they have a good lawyer They can probably get out On good behavior That’s not my fault The justice system is wack  I can streamline your process I can six sigma your shit Or maybe I’ll open a rival company With a slightly better product to sell That’s not me being an asshole Let the market decide  I can be your lover If you want me to Or maybe I could go fuck myself It’s up to you It’s up to you,7680559,en
FIORI ROSA,pop,Achille Lauro,2022,1711,,"   Fiori rosa rubai Come il tempo fa, come fai tu Roma è nuda, poi noi Ed io poi non ti conosco più E quell'aria da bambina poi Che poi alla fine è donna E poi alla fine che? È una fiaba nata un po' dai ""senza"" Nata un po' dall'astinenza, l'assenza di te   So che a volte una persona cambia Perché tu possa lasciarla andare e crescere Piccolo uomo non sa dire: ""Basta"" E fa del male anche sapendo poi di farlo a sé Scusa, è colpa mia   Noi due nudi, noi due Poi possiamo non sentirci più Due minuti, sì, due Che poi chi ce li concede più? Cosa è stato di 'st'amore, stronza? Un po' te ne do colpa, un po' la colpa è mia Io malato di mali del mondo Tu che potevi curarmi da ogni malattia  So che quando una pеrsona cambia Quella notte lascerà macеrie dietro sé Piccolo uomo, che nulla ti basta Piccolo uomo, ora sai dire: ""Basta"" È colpa tua   Na-na-na-na, na-na-na-na-na-na Na-na-na-na-na-na Ra-ra-ra-ra-ra-ra Na-na-na-na, na-na-na-na-na-na Na-na-na-na-ra-ra Ra-ra-ra-ra-ra-ra   So che ora che stai amando un altro Che stai amando un altro, forse pure più di me Quest'amore è come un'influenza E solo per 'sta notte, sì, voglio che menti a me Non dire: ""È colpa mia"" Sai, mi sto consegnando So che tutti hanno bisogno di un abbraccio Piccolo uomo in deserti giocattolo Piccolo uomo, che non cambi mai Sì, è colpa tua  Na-na-na-na, na-na-na-na-na-na Na-na-na-na-na-na Ra-ra-ra-ra-ra-ra Na-na-na-na, na-na-na-na-na-na Na-na-na-na-ra-ra Ra-ra-ra-ra-ra-ra",7588490,it
IXRøsés. Music Prod. Eric Godlow Im Tired Of Feeling this Way,pop,IXRss. Music Prod. Eric Godlow,2022,6,IXRøsés. Music Prod. Eric Godlow,Yaaaaa Woahh Yaaaaaa Woahhhh Hmmm Noooo Nooooo woah I just Hate myself anxiety in my brain man feeling all alone Losing hope losing insanity every girl leaves me man everygirl Everyone hates me everygirl replaces me ya i can't do with this pain Anymore everyone wants to fucking hurt me get in my way Sometimes i just wanna fucking die man grab that rope and leave Ya can't do with this fucking pain losing hope insanity black sorrows Running down my face all again ya just wanna fucking die just wanna Cry myself back to sleep in the old grey rainy days man I can't do with This pain any fucking more ya i just pray i be okay ya i know i be okay But i can't do with this pain no with this pain ya i just hatе my fucking Self feeling all alone again man ya u can't do with this fucking pain Every fucking day i just want to diе some fucking days ya suicidal Thoughts stuck in my brain man i can't do with this fucking pain Anymore sometimes i just wanna die sometime i just wanna cry Losing friends losing hope losing insanity man i can't do with this pain Ya but i know i just be okay ya i be okay ya i be okay i be okay i be Okay i just need a friend need a friend ya yaa woah woah woah woah woah woah woah woah woah woah woah woah hm...,7723842,en
​take me to your place,pop,Maya Wagner,2022,3,," I remember feeling like a mess Laid you in my bed the first week that we met Thinking I barely know you, I′ll throw you away Just another body who thinks I'm gonna stay But baby, you got me in my head   I don′t know who to call when I'm Thinking about you, it's all that I can do And I don′t know what to say when you Pull me closer babe, you′re taking up my days Something's wrong I′m not the kind of person who falls for people My security's erased but something′s gotta take So take me to your place   I don't know why I am at your door Baby, I always feel like I am wanting more Thinking maybe you′ll stop tryna cut me off When I know you wanna talk Baby, you've got me in my head  I don't know who to call when I′m Thinking about you, it′s all that I can do And I don't know what to say when you Pull mе closer babe, you′re taking up my days Somеthing's wrong I′m not the kind of person who falls for people My security's erased but something′s gotta take So take me to your place",7650278,en
Elysium,rock,Valiant Hearts,2022,277,," Everyone thinks they don't belong Then they realize they did all along All along   I still want to be a part of this world Still want to be a part of this world   I'll watch the stars as they All cascade, (All cascade),  all cascade (I still want to be a part of this world) I'll take the hills and make A new landscape (I still want to be a part of this world)   Walking through the snow My footsteps ought to show Where I've been and where I'll go In the cold of Alaska Where the mercury drops below (Below) Zero, zero, zero, zero The mеrcury drops below Now our bodies all slow down  Frozen whеre they can't be found Underneath the avalanche But I didn't even make a sound   I'll watch the stars as they All cascade, (All cascade),  all cascade (I still want to be a part of this world) I'll take the hills and make A new landscape (I still want to be a part of this world)   Still want to be a part of this world   Thought you made me a promise that we would never break Thought I was sleeping, but my eyes were always wide awake And now, in hindsight, I see what we had and what we are You left me frostbitten, but you ain't even get a scar   All the long nights, all the battles Patch me up just to watch me unravel What a sore sight, what can you handle When my heart's at the end of your barrel?  Everyone thinks they don't belong Then they realize they did all along All along I still want to be a part of this world Still want to be a part of this world Still want to be a part of this world Still want to be a part of this world Still want to be a part of this world Still want to be a part of this world   I'll watch the stars as they All cascade, all cascade (I still want to be a part of this world) I'll take the hills and make A new landscape (I still want to be a part of this world)   Still want to be a part of this world   I'll watch the stars as they All cascade, (All cascade),  all cascade (I still want to be a part of this world) I'll take the hills and make A new landscape (I still want to be a part of this world)  Still want to be a part of this world Still want to be a part of this world",7212881,en
Crush,rock,Lubless,2022,5,," La-la-la-la-la-la-la-la-la-la-la La-la-la-la-la-la, la, la, la, la   Lying on the couch all day And blaming whatever it is Hold the remote control Don't know what I'm looking for Keep changing channels every second   I got sick of everything And I need something fresh and new, not boring No one can't fill up to my heart Ain't nobody got this Crushing me, everybody I got sick of everything And I need something fresh and new, not boring No one can't fill up to my heart So I got to be myself (Brand new)  Gimme crush, something new Fed of everything like being someone else Gimmе crush, something new Pleasе no typical stuff, hit me with my crush And surprise me   Looking in the mirror With the weight upon heart And I found out that beauty I didn't know before Asking question all night Mirror, mirror on the wall Who's the fairest in the land?   I got sick of everything And I need something fresh and new, not boring No one can't fill up to my heart Ain't nobody got this Crushing me, everybody I got sick of everything And I need something fresh and new, not boring No one can't fill up to my heart So I got to be myself (Brand new)  Gimme crush, something new Fed of everything like being someone else Gimme crush, something new Please no typical stuff, hit me with my crush And surprise me   La-la-la-la-la-la-la-la-la-la-la La-la-la-la-la-la, la, la, la, la La-la-la-la-la-la-la-la-la-la-la La-la-la-la-la-la, la, la, la, la   Already stained with mixed All colors all around here Put out the paint and make it empty And I found that it was full of me and glory Now it is the time to meet my crush (Gimme some crush)   Gimme crush, something new Fed of everything like being someone else Gimme crush, something new Please no typical stuff, hit me with my crush And surprise me Gimme crush, something new Fed of everything like being someone else Gimme crush, something new Please no typical stuff, hit me with my crush And surprise me",7678251,en
Bakugo Rap | Michael Bay,rap,Lil Kraezy,2022,23,Fr0sted," Bon Voyage, you ain't hard, everybody knows that shit Coup de grâce, nuclear blast, you have no skill, you lackin' Tattered and battered, I'm loyal to the hero's side I'm never a slacker, villains lemme clear yo life   Better bring it on Michael Bay When I explode I don't need to pay Hero work is the game I play You're shitty DLC while I'm base game (Yuh!) You don't wanna go there One pull of a trigger will send you flying into the air Shit ain't fair, can't comprehend I'm not thе only one from that shitty place Who made it to UA, wе're competing now Mood can't change, blow the full cal The more sweat glands that I make Give me more power, I dare say Hair turning grey it'll crumble down Melt you like clay you don't know how My quirk works but anyway Lemme tell a story of the day I got enraged With the worst news I heard on that fateful day He got accepted and got scared on the face Told him don't get cocky and this ain't his place Poppin' the smoke like a ciggy (yuh!) My style be 'fancy' like Iggy (Yuh!) This shit ain't gonna be pretty (YUh!) Your quirk is such a pity (YUH!) I piss em off like a pet peeve In reality, I'm a pet peeve Reverse D-O-G because when I fight I'm making all of these pets leave There are only extras to me Building blocks to my success They be like an atom to me Building my life, I have no regrets  Bon Voyage, you ain't hard, everybody knows that shit Coup de grâce, nuclear blast, you have no skill, you lackin' Tattered and battered, I'm loyal to the hero's side I'm never a slacker, villains lemme clear yo life   All of you extras stop talking Get the hell out of my way when I’m walking Nitroglycerin my smoke make you coughing Nobody’s pissing me off so i'm droppin em They make me explosive Don’t care if my language’s corrosive I’ll leave them toast if Everyone's useless I’ll be the hero you need bitch Don’t need your power just keep it Blurt out my thoughts Act like your talking to god But you usually act like I’m not Give you the shot It’s a.p, faster than chromebooks by hp Caught you in 4K HD The successor of All might, Bitch please This getting more views than my twitch streams I’mma punch out your teeth fuck Disney And We gonna blow it up Don’t give no fucks bout the good or the bad but I ain’t gon show you love Cause a riot with the twitch of my hand Justice it  rains above Don’t need an army a one man band Everyone knows I’m the type of Human being going  in without plan Imma, Imma put in all my goddamn-damn work Fuck, Fucking Deku and his passed down-down  quirk Imma make sure all y’all bitches hurt I’ll put in the work Put in the work (work)",7165423,en
PUTIN DISS TRACK PUTIN PACC,rap,Big Ant Dog,2022,144,," Ayo, fuck Putin Man, on my dead nan That stupid bitch   Yo, Putin I gave yo mama that juicing Anto, producing If you mess with Anto Gang You just losing Smoking on that Putin pack  Oh, shit this is loud You look like you like kids To you that's sound Yo, you bound to love them You just want to fuck them Yo, fuck Putin, on my dead grandad and nan You really think you the man But Anto gave you the ban You never had a plan, that plan sucks Anto, fucks your mum (Ooh) Anto, fuck his mum (Uh) Anto, producing the drum Yeah, ya dumb Yeah, you messing with the Anto gang you dumb Yo bald ass hair, gone I'm a catch you lacking like Pokemon R.I.P King Von (Yeah, yeah) Putin, I'm a make you gone You are my son",7739559,en
Pain Heal,rap,Sk3whooa,2022,126,," Uh The red moon shinin' As the sun is down, perfect timin' Uhm   My eyes are located on the memories Overthinkin' on the past and evil enemies They were telling me that they really liked me But deep inside, they just hated me 'Cause they left me and I felt so gone But I've learnt from the blood stains to live on Deprеssing weather, to the bright dawn You told mе things, tellin' me to hang on, in there   You have changed me for the better You're somebody that got me together Always the night owls in the sky Touchin' the goals and dreams, the new highs (Uh)  I've fallen head over heels And I know deep inside, you have a clue The way you make the pain heal It gets me soaked into tears, you're so true Yeah, I've fallen head over heels But deep inside, I know how to feel The way you make the pain heal You're such a bright star, I'm being for real (Uh)   Before and all when I met you, things were nasty I was in my abyss and wanted to escape badly Running out of breath, panty Nobody was even there, frankly And it got me in teardrops, too upset Is it my fault that this happened to me in distress? Well the pain got me under the stress Defeating it all at my best Such a lost soul with foul mistakes But I've found you, and I'll protect you On whatever it takes 'Cause you're my home, someone new   You have changed me for the better You're somebody that got me together Always the night owls in the sky Touchin' the goals and dreams, the new highs (Oh)  I've fallen head over heels And I know deep inside, you have a clue The way you make the pain heal It gets me soaked into tears, you're so true Yeah, I've fallen head over heels But deep inside, I know how to feel The way you make the pain heal You're such a bright star, I'm being for real (Uh)",7662477,en
Fear,rap,Organic Thoughts,2022,11,,"Hook(organic thoughts) Man they want u to be scared (X7) Man they Dont listen to the voice in your head  Verse 1 (organic Thoughts) Dont listen to the voice in your head Your thalamus is polluted and your memory is dead So everything that is awakening in your head Is from the one whose body temperature cannot be maintained By your hypothalamus the emperor of the dark Alter your mind open up the cosmos of life Where every observеral thing is made up of atoms Every unseenable bеing can be seen If we pass Jagrat,Swapna ,Sushupti 3 stage of consciousness Welcome inside the turiya 4th stage of Consciousness Going so deep Where we can see all the unseen beings And have powers like them (Haaaaaaaa) Open the sun of the heart,sun of the head once open Welcome to the thousand sun of the shining lights in you You are infinite dont let them tell you that you are using 10% of your brain They couldn't even predict the rain in 2020 Weather forecast are lies Have you ever wondered why does a born baby cry? Little man didn't wanna come Earth momma didn't give him a chance Tears running down the cheek I'm already here welcome to Earth Where humans wanna be God Hook (organic thoughts) Man they want u to be scared (X7) Man they Dont listen to the voice in your head   Verse 2 (organic thoughts) My six senses are open Sensitivity flowing Microscopic realm in my eyes Pass the 9 openings in life Open up the 10th gate rise Tantra feel the spirit rising so high Access to the divine consciousness above What do you see ?Hyphen Spiritual magnetic beings The ones who magnetize your Hope's and dreams The ones who subtract your reality I wanna get outta this mind This mind is obsessed with egalitarianism Anarchism Inferred astronomical satellite that recorded the spectral Fermi paradox the search of alien life High caliber can you see the lights in the sky Stars in the sky etcetera.. Mind picking up fallen Angels breathe Never let them see All the motherboxes that I have with me Hook Man they want u to be scared (X7) Man they Dont listen to the voice in your head   Verse 3 (organic Thoughts)  Pentagram All five chemical elements Within me I banish forces wherever I stand I suck a spiral lollipop Watch me as I suck the knowledge out of the divine feminine I am reborn Talisman holder, I Command the first civilization here is an order Go and kill elites and bring order Cut their heads with the Takoba Divine feminine Creation,death Rebirth of the elites from heaven to the earth Repetition of everything just wake Life its a same pattern it's a same pattern I obtained my knowledge from a dead physicist Einstein,satan was a big physicist Got cast out from heaven then he passed his knowledge into earth So why should I believe in physics man? The numbers tantras everything is evil man Lack of sense I dont know who I am Fear, Fear I dont fear death man I'm alive For a few to be immortal many must die The cost of living goes up everyday to make sure that many die Many have died already died before their time (Many have died already died before their time)",7569742,en
Golden Trees,rock,"Porter Smith, Josh Alvey, Tate Smith",2022,24,Porter Smith / Josh Alvey / Tate Smith,"You’re cutting the coffin and feeling the breeze of the golden trees You tell her you’re sorry, you’ll fall to your knees, what a lovely scene  When I’m so scared of bleeding bright red right out on that floor  It’s the burden of perfection being lifted from your sight, do you see the reason? So why do you burden yourself with your lies, don’t you know your fall?  When I’m so scared of bleeding bright red right out on this floor And I’m so scared of this, oh no, I need that good warmth  You’re tasting the truth for the first time in your life, don’t you know how it feels? Been invited to your veins now you’re losing your pain, can you feel this love?  When I’m so scared of bleeding bright red right out on this floor And I’m so scarеd of this, oh no, I need that good warmth",7789932,en
Cocoon,pop,BoyWithUke,2022,94,,"Lyrics from Snippets   One month left, my doctor shakes his head Vamos, I gotta go write out a bucket list in red ink ""He don't look so good"", he says ""He don't think so good, he should just rest"" Vomiting all over my bed And I can't believe the 22's the age of my death I set aside my will, I said goodbye to my friends (Yeah) I guess this is the end   When are we going to the zoo? (Babe, we should not hesitate) There's so many things that I want to do with you (Fly towards the moon) Let's go to Taco Bell, they close soon (So-o-on) Let's pack up and escape from our cocoon From our cocoon, from our cocoon  (From our cocoon, from our cocoon) (From our cocoon, from our cocoon) (From our cocoon, from our cocoon) (From our cocoon, from our cocoon)...",7696906,en
Porto de Abrigo,rap,CLANDESTINO 2685,2022,16,DMCA 2685,"   Baby, vem cá Deixa-me ser o teu porto de abrigo (Porto de abrigo) Deixa-me ser o teu porto de abrigo (Porto de abrigo) Mesmo que isso já não faça sentido (Faça sentido) Mesmo que isso já não faça sentido (Faça sentido) Vem cá, deixa-me ser o teu porto de abrigo Mesmo que isso já não faça sentido Hoje eu só quero é ficar contigo Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido Vem cá, deixa-me ser o teu porto de abrigo Mesmo que isso já não faça sentido Hoje eu só quero é ficar contigo Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido  Por o passado para trás das costas Para quem fala, cagar para as bocas E elas que te dizem que eu tenho outras Só podem estar loucas, jamais trocava o teu beijo na boca Vem-te perder na minha mente louca Logo de manhã quando ela me toca Ao teu lado a vida é saborosa Tempos cinzentos tornam-se cor de rosa Todos os dias nós estamos à prova Baby já sei que a família reprova Tiraste-me do crime, do guetto e da dosa Filmes e pipocas até que me provocas Tu vais e voltas, filmes e pipocas até que me provocas Tu tocas e gostas   -Então amor, tás aonde? -Ainda tou aqui pelo estúdio, porquê? -Então mas... Tu não vens jantar? -Ia mor, por acaso 'tou um bocado atrasado, e acho que hoje não vou conseguir ir mesmo jantar -Olha nem te digo é nada, foda-se, tu és sempre a mesma merda, faz o que tu quiseres   Vem cá, deixa-me ser o teu porto de abrigo Mesmo que isso já não faça sentido Hoje eu só quero é ficar contigo Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido Vem cá, deixa-me ser o teu porto de abrigo Mesmo que isso já não faça sentido Hoje eu só quero é ficar contigo Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido  Já sei que por vezes eu 'tou tão ausente Que a ausência torna-se indiferente Era suposto acreditar no presente Baby sabes que nunca fui crente Ambos sabemos que o nosso love é quente Até que queime todo o sentimento Ambos sabemos que o controlo é da mente Mas connosco isso é bem diferente Então baby, vem, sem receio Ela faz tão bem (Yeh-yeh) Vivendo a cem, Sem pé no freio Vê onde cheguei (Yeh-yeh) Essa miúda tem muita atitude Juro baby de ti eu quero tudo Sei que ainda falta dar alguns passos Mas passo a passo dás a volta ao mundo (Yeh-yeh)   -Mor, tive a pensar sobre o que disse à bocado e peço desculpa, eu não te posso impedir de seguires o teu sonho, faz o que sabes fazer de melhor, eu apoio-te, não te preocupes   Vem cá, deixa-me ser o teu porto de abrigo Mesmo que isso já não faça sentido Hoje eu só quero é ficar contigo Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido Vem cá, deixa-me ser o teu porto de abrigo Mesmo que isso já não faça sentido Hoje eu só quero é ficar contigo Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido Levar-te comigo, ser o teu bandido",7756644,pt
