title,tag,artist,year,views,features,lyrics,id,language,image_url
Inside a Soul,rb,Jizen Iskandar,2020,13,,"
Love, oh why
Lie, no ooh why
You got me thinkin' of what to say
'Cause everything you do blows me away
Mind's all stuck going la-la-di-da-da-da-di-doo


Breathe
Take me inside your soul
Ooh-hoo-wha-ooh-hoo-whooh-whooh-whooh-yeah-yeah


Love, oh why
I'd die from your eyes
Feel that you might be the one
Take my hand, let's fly away
Hold me tight going up up up and up and up and away


Breathe
Take me inside your soul
Ooh-hoo-wha-ooh-hoo-whooh-whooh-whooh-yeah-yeah",6065102,en,https://images.genius.com/908fa9c8ffe02f4e9f5a87dc3eb66985.600x600x1.jpg
School Boi Rap  Feat Lil Chromosome And Lord Chewithian ,rap,JoagTheProducer,2018,90,"Lil Chromosome,Lord Chewithian","
Oh my goodness

Potato, Poh-Tah-Toh, Tomato, Toh-Mah-Toh
Viera Charter School gon' be on the radio
Potato, Poh-Tah-Toh, Tomato, Toh-Mah-Toh
Viera Charter School with that dope lunch flow


Hippity Hoppity Dippity Dee
The School Boi life is the life for me
Writing them papers, Studying them notes
I quote ""Honey bunches of Oats in the Moats""
I eat 'em all day for the boat to float
Walkin down the hallway, going to my class
Hurry up y'all, we gotta go fast
Last one there is a Thicc Bass!


Math,Science,Reading,Steam
And everything else in between
I take these classes everyday
Even when the clouds are gray
But no matter what I say, I am going the right way",3782536,en,https://assets.genius.com/images/default_cover_image.png?1697817458
Dead... For The Moment,pop,The Bronx Casket Co.,2001,96,,"Life keeps growing, boundaries falling, it's knocking me in my grave
And if I recover, I find I discover, it's me that's become its slave
Pushed from the mountain, lost in a free fall, waiting for black to come
The sound of the splatter can be heard forever, ending what I've become
I can take you by the hand
I can lead you through this land
But when the hangman comes to call, it's up to you to stand or fall
Oh, it's just my heart that's breaking
Oh, it's just my soul you taking
Cast aside with self-inflicted pain
No one dies from broken dreams
And when you're dead who hears you scream
How much could this corpse feel anyway
Dead for the moment
Pile it on me, stack it to heaven, can't make a dead man stay
He looks so peaceful, hard to believe a fire is on its way
I won't be here long, this box is just too small, won't break but I can bend
I'm painting it all black to mark this arrival, wake up... it's time again
Try to keep yourself alive, even if you're dead inside
And if you follow, take the lead
There's only so much you can bleed
Over and over breaking out of these chains
Lost in the moment trying to beat this same old game
Who will be there when I put out my hand
Who will be there and what will be the cost
Things have a way of getting out of control
Things have a way of working out when everything seems lost",1140653,en,https://assets.genius.com/images/default_cover_image.png?1697817458
TF,pop,Your Demise,2009,338,,"Don't worry, I'm always here for you
You're everything I want to come back to
So this is what it's like to feel alive
Cos everyone around me could about fucking die

No passing, no more energy
To even breathe a single word
It's always the way, that you'll soon find out
Someone's not what they seemed at first

Sick of cold stares and freezing words
Dragged along till there's nothing left
I'd given all that I had to someone nothing like you
This time I'm here till my last breath
I need someone to come back to
But most of all that person needs to be you

I feel I've wasted away what I cherish now
It's been a long few years and I don't know how
I've wasted a feeling I'm about to drown in with you
I need someone to come back to
But must of all that person needs to be you
This feels like a different heart
Because now this feels so real
Being miles away every single day
Never felt like such a thrill

It can feel so shit, but what can you do
As every time I'm back, I'm coming back for you
And that's the way I want it after everything I do

I just hoped for that feeling of sanctuary
And when I look up, it's looking back at me",2057612,en,https://images.genius.com/261d6450d6aa3f15d268a0ec69c92470.500x500x1.png
Jesu Parvule,pop,Fred Waring and the Pennsylvanians,1959,29,,"
Jesu Parvule Laying
On thy couch of hay
Greet we thee today
Sweet son of Mary


Be thy slumber deep
While fair Angels keep
Vigil o'er Thy sleep
Blest Babe of Mary


'Tis Thy joy to see
Kings on bended knee
Off'ring gifts to Thee
Sweet Son of Mary


But Thou may'st not know
What these gifts fore-show
Of they future woe
Blest Babe of Mary",5974946,en,https://images.genius.com/6e5bf11040078754f2736ac30375597e.500x500x1.jpg
This is London,pop,4 Minutes Later,2018,483,,"Well, we're breaking down the windows and kicking down doors
Cigarette, burned fingers, empty bottles galore
This is nothing, but it's something
This is London, and it's our town

Well you say do this but don't do that
Just follow in the footsteps of your old man
He was nothing, was he something?
This is London, and it's our fucking town

We don't need no testimony
Fix yourself up, 'cause you're such a phony

We try, but you lie
And when you lie, we ask why
'Cause this is London

And you know you'd like to do this but you don't know how
C'mon Mr. Big Shot try to figure us out
Cause we're nothing, but we're something
This is London, and it's our town
You can punch in, clock out, this is the way
A fair day's work for a fair day's pay
Gives you nothing, gives you something
To call your life, so you can waste it away

We don't need no testimony
Fix yourself up, cause you're such a phony

We try, but you, you lie
And when you lie, we ask why?
'Cause this is London



We try, but you, you lie
And when you lie, we ask why
(Cause we're gonna try)
We try
(We ask you why)
But you, you lie
(Cause we're gonna try)
And when you, you lie
(We ask you why)
We ask why
This is London
Cause this is London
Cause this is London
(Na, Na, Na, Na, Na, Na, Na, Na, Na) We ask why
(Na, Na, Na, Na, Na, Na, Na, Na, Na) Cause we're gonna try
(Na, Na, Na, Na, Na, Na, Na, Na, Na) We're asking why
(Na, Na, Na, Na, Na, Na, Na, Na, Na) Cause we're gonna try
(Na, Na, Na, Na, Na, Na, Na, Na, Na) Cause we're gonna try",3904712,en,https://images.genius.com/5d613d5e18c0c64cb3699dfc674cb64b.1000x1000x1.jpg
Saved,rap,9th Wonder,2007,464,"Saigon,Joe Scudda","


Wouldn't you want to be me
In the prime of my thug I popped three
People in the less of a two month span
Not playin', couple is on record, the others I'm not saying
I was wild since the box of sand
I was the fucking slap-box man
You was rocking the Real Roxanne
You can go ahead with your battling man
I get mad at cha man
Hit you in your head with a battering ram
Rap like only an african can
They can lock us up trying to kill us all or put crack in our hand
But you gotta understand, that their is a plan to kill off the black man
And how the black woman the number one catcher of aids
And we all know that bullshit spreaded from gays
Its so craze, my mental being in an intricate maze
Can't eat can't sleep without hitting some haze
Seen bright nights and dark days
And maybe wanna run and spark the gate
And pray to God I ain't marked for a grave
Cause I ain't even saved



Yo, Keep it all real; I don't care if you don't like me
I'm in this game for more than a chain or whipping a crisp pair of nikes
See there's more to it
It's kinda of hard to get it but easier to lose it
Thats why I try to keep it
Some cats died to reach it
Don't even know what they're reaching for
If they don't listen then why we teaching for
And my moms still teaching more
I gotta question why she get paid the least for her profession
And my pops still stressing
Got a new heart
Turned around got cancer in the skin
I swear he can't win
But he don't quit my old man he just keep grinding to the end
And the ends coming know time quick
Cause me and him, still kick it on some old time shit
Belly up have a beer or two
Cause everything he said then I see now your boys gotta clear view
And the lessons gotta learn myself
My lifestyle gonna have a worse turn for my health
And I hope I don't see an early grave
Damn, cause I ain't even saved
",62178,en,https://images.genius.com/c79a4d23ca0ae75f715c34ad0ae3825a.492x486x1.jpg
One Day We Will All B Free,rock,Prince,2021,1818,,"
Ooh ooh


You go to bed just to learn
It was all a dream
Day after day just a yearnin'
For something in between
Kneeling down beside your bed
Praying for a sign
And everything your mama said
Is just a waste of time


But one day, one day
We'll all be free


You go to church just to be sold
Why you deserve to die
It's just like having your fortune told
But never asking why
Or more like having one of God's creations
Tied up on a leash (Uh-uh)
Makes you wonder who controls the nations
If we never had peace

One day, one day
We'll all be free


Ooh-ooh


You go to school just to learn
About what never existed
But if your history only burns
It's better to resist it
Keepin' it Franklin, Benjamin Banneker
Was never born a slave
And-ah if George Washington never told no lie
Maybe we'd all be saved


One day, one day
We'll all be free


One day, one day
We'll all be free
One day, one day
We'll all be free
One day, one day
We'll all be free

One day, one day
We will all be free


One day, one day
We will all be free (Oh, yes we will, yes we will)
One day, one day (One day, one glorious day)
We will all be free
One day, one day
We will all be free (Talking about you, talking about me)
One day, one day
We will all be free (One day, one day, we will all be, all be free)
One day, one day
We will all be",6683658,en,https://images.genius.com/772b4ce42b7f5498c382243790752a31.1000x1000x1.jpg
Send in the Clowns,pop,Elisabeth Andreassen,1992,44,,"Isn't it rich?
Are we a pair?
Me here at last on the ground, you in mid-air
Send in the clowns

Isn't it bliss?
Don't you approve?
One who keeps tearing around, one who can't move
Where are the clowns?
Send in the clowns

Just when I stopped
Opening doors
Finally knowing the one that I wanted was yours
Making my entrance again, with my usual flair
Sure of my line
No one is there

Don't you love farce?
My fault, I fear
I thought that you'd want what I want
Sorry, my dear
But where are the clowns?
Quick send in the clowns
Don't bother, they're here
What a surprise
Who could foresee?
I'd come to feel about you what you felt about me?
Why only now I see that you've drifted away?
What a surprise
What a cliché

Isn't it rich?
Isn't it queer?
Losing my timing this late in my career
And where are the clowns?
There ought to be clowns
Well, maybe next year",1614415,en,https://images.genius.com/a713c9aa5d52b053702ab0dbb2bd96b4.598x598x1.jpg
Approaching Doom,rock,Urgehal,2009,118,,"Demonic whips upon a funeral black night sky
Corpsecold soil beneath our cloven hooves
Church fires enlightens the left hand path
Like torches from hell devouring the cross

Thou shall worship Him with fire and blood
Sacrifice thy flesh to the horned god
Fulfill the infernal pacts through the black arts
Signed and drenched in sacrificial blood

For each step my mind grows darker
For each kill my soul grows stronger
Preparing for the apocalyptic war
Through satanic rituals and sorcery

Perform the rites of necromancy
Evoke the unhallowed dead
In sadistic black mass perversions
We seal the oath of the goat

Carve his symbol in thy flesh
Bleed for the lords of hell
Declare war upon the heavens
Kill in His name
Behold His coming",1210318,en,https://images.genius.com/318ac858734365d1d3bf62ead96e6f77.225x225x1.jpg
Orange and Tweed,pop,Drive Til Morning,2003,19,,"Will you lie here on the beat-up couch? orange and tweed with guts hanging out. will you stay here? we can daydream in the middle of the night. got just enough change for the rest of my life. if you hang on. got a partial view of the empire state. it's a little bit tight, but it keeps out the rain. will you stay here? we can sleep in or stare at the stars. where hobos hold bottles close to their hearts. will you hang on? will you lie here on the beat-up couch? orange and tweed with the guts hanging out. will you stay here? we can lie here and stare at the stars. i could lie here for the rest of my life. if you hang on",1215886,en,https://images.genius.com/cef5b775d062e95757b0cb83cc9ff82a.1000x1000x1.jpg
G Shit,rap,Yaboiblaze,2019,30,,"I pulled up with my side bitch
I  pulled up with my side bitch
I  pulled up with my side bitch
I pulled up with my side bitch
I pulled up with my side bitch

Ridin  around I'm off the shits bitch
Yaboiblaze  bout his business
I pulled up with my side bitch
Yaboi  is on his g shit
I pulled up with my side bitch
I pulled up with my side bitch
I pulled up with my side bitch
Yaboi  is on his g shit
Yaboi came in swag hoe
Yaboi fuckin these bitches
Pull up bitch what be them digits
Trynna make you yaboi mistress
Ridin around I'm off the shits bitch
Yaboiblaze bout his business
I pulled up with my side bitch
I pulled up with my side bitch
I pulled up with my side bitch
Yaboi is on his g shit
I pulled up with my side bitch
Yaboi is on his g shit
Ridin around I'm off the shits bitch
Yaboiblaze bout his business
I pulled up with my side bitch",4742947,en,https://images.genius.com/2d8b016cbb894d278dd4bfa77e0a8c44.1000x1000x1.png
Drowning,rock,Monster Magnet,2018,395,,"This ain't a bad cup of coffee
I guess we agree on that much
And I should be countin' my blessings
In the light of your fading touch
But I'm tired of the game
And I'd sure like to blame you
For turning my dreams into dust
But I'm spinning and it's all because of you

Guess I'll go back on the highway
And keep on searching for light
Some much needed coin in my pocket
And I'll prove that I'm doing alright
But I could get paid for a thousand days
And I still would be begging at night
Yeah, I'm crying and it's all because of you

Are there happy endings?
Is there a sun up in the sky?
Well, it's hard to get excited
When I'm gettin' nothin' back
And I'm tired, yeah, I'm tired of asking why
Jesus
You let me down again
World, oh, world
I guess you ain't my friend

I could get high till I broke through the sky
But I still would be singin' the blues
But I'm drowning and it's all because of you
Yeah, I'm drowning and it's all because of you

Dream with me now, my darling
In my cave deep under the ground
There I'm pretty good at pretending
That the sun will never go down

But I see in your eyes
That you're held to those lies
And I just can't be hearing that sound
Oh, I'm fading and it's all because of you

How much are happy endings?
Can I buy you that moon up in the sky?
I wanna see the day
But it seems that you don't wanna play
And I'm tired, yeah, I'm tried of asking why
Jesus
You let me down again
World
I guess you ain't my friend, ain't my friend

But I could get laid in a thousand ways
And I still would be singin' the blues
But I'm drowning and it's all because of you

Jesus
You let me down again
World, world, world, world
You ain't nobody's friend

I could get paid for a thousand days
But I still would be wearing those shoes
I could get laid in a thousand ways
But I still would be think 'bout you
I could get high till I crashed through the sky
But I still would be singin' the blues
But I'm drowning and it's all because of you (yeah)
Yeah, I'm drowning and it's all because of you
Yeah, I'm drowning and it's all because of you",3697869,en,https://images.genius.com/61c70bde4dbbf54faa1d4e206abde07c.1000x1000x1.jpg
Remain RMC Remix,pop,MUTEMATH,2016,124,,"
I’ve been dreaming
Dreaming of a day in the end
Waiting for someone
To wake me from the dream that I’m in
I’ve been confiscating
Every shred of hope that I can
I keep on mistaking
The future for the places I’ve been


Always the same
Always forever we remain
Always the same
I’m dying just to keep my place


I’ve been breaking
And repairing everything that I make
Just to feel important
And worth the little space that I take
I keep on delaying
Everything I’d rather avoid
Rapidly decaying
And panicking I’m losing the choice

Always the same
Always forever we remain
Always the same
I’m dying just to keep my place


Just keep on trying
Just keep fighting
Just keep going
Just keep surviving
Just keep walking
Just keep breathing
Just keep holding
Just keep believing


Always the same
Always forever we remain
Always the same
I’m dying just to keep my place

Always...


Just keep on trying
Just keep fighting
Just keep going
Just keep surviving
Just keep walking
Just keep breathing
Just keep holding
Just keep believing

Always the same
Always forever we remain",2864720,en,https://images.genius.com/c89fbbbb1b624697b326c2bd8b2df40c.1000x1000x1.jpg
Into the Abyss,pop,Gri4m,2020,20,,"And my chest is filling up and I can't breathe
I see you floating close by in this sea
I think I dream
But it feels so real

Following your echo in the trees
Your perfume scent is spreading across the fields
I think i'm losing all this sight of you and me
I think i'm losing all this sight of you and me

The rain just feels so lonely without you here
I keep dancing with these spirits when I keep fading
Sometimes I think of you so i can forget my fears
But then the thought of you just leaving makes me scared

Waking up these days feels like a dream
The thought of this existence is now distorted
I wish that I could go to sleep that's just so deep
So I wouldn't have to face this reality

I wish that I could go to sleep that's just so deep
So I wouldn't have to face this reality",5572259,en,https://images.genius.com/d4b5569a0ad77fe3dcae9b14e49109f2.1000x1000x1.jpg
Pour,pop,Astrid Williamson,2011,36,,"Can you give me something for a promise I've made
Because I've become a prisoner of the things I've said
Isolated incidents have brought me war
Jealousy, indifference of wanting you more

Pour in to my heart the gentle spirit of peace
Pour in to my arms about to make them ???release?
Pour in to my mouth ??? send me free
Pour in to my eyes a future I can't see",3061161,en,https://images.genius.com/8bb7bb27aa7b9adf6b75012a294b77ee.480x480x1.jpg
